timestamp,run_id,license_key,stage,provider,model,is_batch,input_tokens,output_tokens,cached_tokens,cost_usd,latency_ms,success,error_message
2026-05-01T16:29:40.886954,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,463,45,0,0.000048,875,1,
2026-05-01T16:29:40.906081,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,482,29,0,0.000045,876,1,
2026-05-01T16:29:40.919973,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,513,39,0,0.000050,853,1,
2026-05-01T16:29:40.960325,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,547,39,0,0.000053,825,1,
2026-05-01T16:29:40.975597,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,490,50,0,0.000052,794,1,
2026-05-01T16:29:40.982355,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,451,44,0,0.000047,965,1,
2026-05-01T16:29:41.002390,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,495,45,0,0.000051,845,1,
2026-05-01T16:29:41.039007,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,469,40,0,0.000047,939,1,
2026-05-01T16:29:41.333249,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,492,38,0,0.000048,903,1,
2026-05-01T16:29:41.736408,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,501,36,0,0.000048,812,1,
2026-05-01T16:29:41.739373,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,485,29,0,0.000045,775,1,
2026-05-01T16:29:41.750052,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,506,43,0,0.000051,764,1,
2026-05-01T16:29:41.757658,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,471,39,0,0.000047,866,1,
2026-05-01T16:29:41.772998,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,518,39,0,0.000051,793,1,
2026-05-01T16:29:41.822159,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,484,35,0,0.000047,778,1,
2026-05-01T16:29:41.849917,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,421,37,0,0.000043,969,1,
2026-05-01T16:29:41.863122,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,509,58,0,0.000056,953,1,
2026-05-01T16:29:41.877326,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,500,29,0,0.000046,871,1,
2026-05-01T16:29:42.169958,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage1,google,gemini-2.5-flash,0,506,41,0,0.000050,832,1,
2026-05-01T16:29:48.172326,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1239,265,0,0.002874,5904,1,
